# fftisdf-ning-supercell-10
# nk,    build,    get_j,    get_k,     size
   2, 2.85e+01, 6.77e+01, 4.00e-02, 7.59e-01
   4, 1.25e+02, 1.94e+03, 6.20e-01, 2.28e+00
   8, 5.13e+02, 8.60e+00, 6.44e+00, 7.61e+00
  16, 4.75e+03, 4.36e+01, 1.27e+02, 2.68e+01
  32, 2.04e+04, 1.55e+02, 1.11e+03, 8.36e+01
  64,      nan,      nan,      nan,      nan

# fftisdf-ning-supercell-20
# nk,    build,    get_j,    get_k,     size
   2, 3.81e+01, 7.50e+01, 4.00e-02, 9.05e-01
   4, 1.84e+02, 1.90e+03, 6.10e-01, 2.72e+00
   8, 7.06e+02, 7.52e+00, 8.76e+00, 9.00e+00
  16, 5.96e+03, 4.94e+01, 1.63e+02, 3.17e+01
  32, 2.58e+04, 1.51e+02, 1.05e+03, 1.02e+02
  64,      nan,      nan,      nan,      nan

# fftisdf-yang-10-21-21-21
# nk,    build,    get_j,    get_k,     size
   2, 2.21e+01, 2.50e-01, 7.00e-02, 3.81e-02
   4, 5.80e+01, 4.40e-01, 1.40e-01, 7.61e-02
   8, 8.26e+01, 8.20e-01, 2.90e-01, 1.52e-01
  16, 1.67e+02, 1.54e+00, 5.70e-01, 3.05e-01
  32, 3.33e+02, 3.15e+00, 1.13e+00, 6.09e-01
  64, 6.89e+02, 6.63e+00, 2.23e+00, 1.22e+00

# fftisdf-yang-20-21-21-21
# nk,    build,    get_j,    get_k,     size
   2, 4.80e+01, 4.30e-01, 2.80e-01, 1.45e-01
   4, 9.40e+01, 8.60e-01, 5.40e-01, 2.91e-01
   8, 3.36e+02, 1.97e+00, 1.98e+00, 5.81e-01
  16, 3.59e+02, 3.13e+00, 2.08e+00, 1.16e+00
  32, 7.55e+02, 6.25e+00, 4.27e+00, 2.33e+00
  64, 1.57e+03, 1.33e+01, 8.60e+00, 4.65e+00

# gdf
# nk,    build,    get_j,    get_k,     size
   2, 1.68e+02, 7.20e-01, 7.27e+00, 3.42e-01
   4, 2.83e+02, 7.80e-01, 2.84e+01, 1.57e+00
   8, 6.64e+02, 2.95e+00, 1.16e+02, 6.53e+00
  16, 2.07e+03, 3.20e+00, 4.86e+02, 2.65e+01
  32, 4.55e+03, 6.47e+00, 1.91e+03, 1.07e+02
  64, 1.98e+04, 1.37e+01, 7.77e+03, 4.28e+02
