# fftisdf-ning-supercell-10
# nk,    build,    get_j,    get_k,     size
   2, 1.39e+02, 2.87e+02, 2.00e-01, 1.46e+00
   4, 6.89e+02,      nan,      nan,      nan
   8, 1.89e+03, 2.41e+01, 9.82e+00, 1.54e+01
  16, 4.84e+03, 8.20e+01, 1.57e+02, 4.46e+01
  32, 1.61e+04, 2.70e+02, 9.96e+02, 1.31e+02
  64,      nan,      nan,      nan,      nan

# fftisdf-ning-supercell-20
# nk,    build,    get_j,    get_k,     size
   2, 1.62e+02, 2.97e+02, 2.00e-01, 1.62e+00
   4, 6.18e+02,      nan,      nan,      nan
   8, 2.26e+03, 2.51e+01, 1.09e+01, 1.65e+01
  16, 5.75e+03, 8.29e+01, 1.75e+02, 4.85e+01
  32, 1.93e+04, 2.71e+02, 1.25e+03, 1.45e+02
  64,      nan,      nan,      nan,      nan

# fftisdf-yang-10-21-21-21
# nk,    build,    get_j,    get_k,     size
   2, 5.95e+02, 7.00e-01, 1.60e-01, 8.57e-02
   4, 1.18e+03, 1.39e+00, 3.10e-01, 1.71e-01
   8, 2.45e+03, 2.68e+00, 6.10e-01, 3.43e-01
  16, 4.87e+03, 5.39e+00, 1.20e+00, 6.85e-01
  32, 9.92e+03, 1.12e+01, 2.44e+00, 1.37e+00
  64, 1.96e+04, 2.08e+01, 4.84e+00, 2.74e+00

# fftisdf-yang-20-21-21-21
# nk,    build,    get_j,    get_k,     size
   2, 1.22e+03, 1.33e+00, 5.80e-01, 3.27e-01
   4, 2.55e+03, 2.57e+00, 1.17e+00, 6.54e-01
   8, 4.91e+03, 5.32e+00, 2.32e+00, 1.31e+00
  16, 1.00e+04, 1.08e+01, 4.54e+00, 2.62e+00
  32, 2.01e+04, 2.16e+01, 9.07e+00, 5.23e+00
  64, 4.07e+04, 4.99e+01, 2.05e+01, 1.05e+01

# gdf
# nk,    build,    get_j,    get_k,     size
   2, 3.18e+02, 1.73e+00, 3.44e+01, 1.42e+00
   4, 5.38e+02, 2.45e+00, 1.34e+02, 6.29e+00
   8, 9.80e+02, 5.38e+00, 5.15e+02, 2.58e+01
  16, 2.83e+03, 1.20e+01, 2.29e+03, 1.04e+02
  32, 1.16e+04, 2.31e+01, 8.15e+03, 4.16e+02
  64, 4.31e+04, 4.83e+01, 3.33e+04, 1.66e+03
